name,link,min_salary,max_salary,currency,employer,source
Персональный водитель-Охранник/Семейный водитель,https://hh.ru/vacancy/47122827?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,80 000,,руб.,Атлант Бетон,hh.ru
"Водитель-экспедитор (на фуру, категория Е)",https://hh.ru/vacancy/47653550?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,110 000,140 000,руб.,ООО ЛИРА ТРЕЙДКОМ,hh.ru
Водитель офисный,https://hh.ru/vacancy/47668118?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,,70 000,руб.,ООО Газстройинновация,hh.ru
Водитель категории В,https://hh.ru/vacancy/47172986?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,90 000,130 000,руб.,ООО Автофлот-Столица,hh.ru
Водитель на личном легковом автомобиле,https://hh.ru/vacancy/47058313?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,80 000,150 000,руб.,"ОТРА, Транспортная компания",hh.ru
Водитель категории В,https://hh.ru/vacancy/47365848?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,85 000,105 000,руб.,ООО УниверсалПрестижСервис,hh.ru
Водитель,https://hh.ru/vacancy/47156300?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,180 000,220 000,руб.,ООО БКС,hh.ru
Водитель в компанию,https://hh.ru/vacancy/38393237?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,70 000,100 000,руб.,ООО Эджайл,hh.ru
Водитель-экспедитор на своем автомобиле,https://hh.ru/vacancy/44291833?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,200 000,,руб.,ООО Маркетгрупп Технолоджи,hh.ru
Водитель на собственном грузовом автомобиле от 1 до 20 тонн,https://hh.ru/vacancy/47204954?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,140 000,200 000,руб.,ООО ТрансКедр,hh.ru
Водитель на Газель 6 м,https://hh.ru/vacancy/47668760?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,75 000,,руб.,ИП Башарин Вадим Маркович,hh.ru
